2024-04-11 16:03:07,534 | WARN  | Transport Connection to: ws://192.168.0.112:64379 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64379 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:07,624 | WARN  | Transport Connection to: ws://192.168.0.112:64380 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64380 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:07,748 | WARN  | Transport Connection to: ws://192.168.0.112:64381 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64381 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:07,823 | WARN  | Transport Connection to: ws://192.168.0.112:64382 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64382 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:07,827 | WARN  | Transport Connection to: ws://192.168.0.112:64383 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64383 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:07,924 | WARN  | Transport Connection to: ws://192.168.0.112:64384 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64384 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:07,941 | WARN  | Transport Connection to: ws://192.168.0.112:64385 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64385 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:08,089 | WARN  | Transport Connection to: ws://192.168.0.112:64386 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64386 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:08,200 | WARN  | Transport Connection to: ws://192.168.0.112:64387 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64387 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:08,341 | WARN  | Transport Connection to: ws://192.168.0.112:64388 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64388 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:08,373 | WARN  | Transport Connection to: ws://192.168.0.112:64389 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64389 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:08,411 | WARN  | Transport Connection to: ws://192.168.0.112:64390 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64390 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:08,703 | WARN  | Transport Connection to: ws://192.168.0.112:64392 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64392 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
2024-04-11 16:03:08,874 | WARN  | Transport Connection to: ws://192.168.0.112:64394 failed: CONNECT frame not received with in connectionTimeout (>30000): ws://192.168.0.112:64394 | org.apache.activemq.broker.TransportConnection.Transport | MQTTInactivityMonitor Async Task: java.util.concurrent.ThreadPoolExecutor$Worker@392eeb22[State = -1, empty queue]
